date time lat lon depth ML nstn dmin gap trms ERH ERZ fixed nph quality
2018-03-18 02:59:10.15 23.2000 121.3765 18.08 4.27 99 2.20 51 0.38 0.10 0.10 F 328 B
2018-03-28 10:29:57.42 24.6457 121.9750 63.65 4.92 99 12.40 67 0.24 0.20 0.20 F 283 B
2018-03-29 00:17:50.31 24.0042 121.0147 11.08 5.00 99 5.90 14 0.31 0.10 0.10 F 299 B
2018-04-11 07:39:29.60 22.7183 121.6718 24.75 4.55 99 21.30 141 0.44 0.20 0.30 F 336 C
2018-04-16 13:48:59.50 23.0557 121.3423 18.96 4.86 99 5.60 101 0.36 0.10 0.10 F 331 C
2018-04-19 02:46:52.74 24.2363 121.7872 16.80 4.27 99 8.80 79 0.38 0.10 0.10 F 326 B
2018-04-21 10:56:54.59 23.0127 121.6987 24.19 4.70 99 34.60 125 0.40 0.20 0.20 F 358 C
2018-05-08 16:04:22.13 22.6778 121.3130 37.25 4.25 99 16.00 75 0.40 0.10 0.10 F 336 B
2018-05-12 21:18:44.73 24.7342 121.9538 78.76 4.37 99 12.00 88 0.29 0.20 0.10 F 320 B
2018-05-12 04:17:46.60 23.8623 121.6870 47.70 4.77 99 14.60 99 0.35 0.20 0.10 F 344 C
2018-05-31 01:03:59.84 22.8072 121.2795 17.04 4.29 20 14.10 213 0.32 0.70 0.50 F 34 D
2018-05-31 01:03:18.24 22.8608 121.2258 8.65 4.76 99 11.00 86 0.38 0.20 0.30 F 146 C
2018-06-01 17:43:26.48 23.9400 121.4787 18.93 4.34 99 3.20 45 0.31 0.10 0.10 F 230 B
2018-06-02 02:01:10.15 23.8850 121.0485 18.25 4.77 99 13.80 21 0.33 0.10 0.10 F 278 B
2018-06-02 11:25:15.52 24.4985 121.9068 60.42 4.29 99 10.70 65 0.31 0.20 0.20 F 230 B
2018-06-06 18:14:56.08 22.8367 121.2145 8.37 4.19 99 11.20 60 0.38 0.10 0.10 F 192 C
2018-06-11 15:42:05.26 23.9805 121.7483 6.68 4.51 99 13.70 92 0.29 0.20 0.20 F 251 C
2018-06-11 20:52:27.96 23.9805 121.7612 5.09 4.68 99 15.00 110 0.30 0.10 0.20 F 251 C
2018-06-15 20:53:55.21 24.6663 121.8367 63.21 5.33 99 6.90 41 0.23 0.10 0.10 F 303 B
2018-06-27 15:26:40.43 23.0048 121.1723 10.39 4.30 99 11.10 48 0.34 0.10 0.10 F 205 C
2018-06-28 06:30:10.76 22.9953 121.1733 10.59 4.09 99 10.80 65 0.33 0.10 0.20 F 196 C
2018-07-03 20:10:16.30 23.0117 121.1813 10.00 4.42 99 10.00 33 0.34 0.10 0.10 F 246 C
2018-07-13 18:38:39.53 22.9935 121.1668 8.01 4.84 99 12.50 39 0.33 0.10 0.10 F 253 C
2018-07-13 06:31:45.80 22.9912 121.1698 9.14 4.09 99 12.60 40 0.33 0.10 0.20 F 200 C
2018-07-13 01:42:16.70 23.8628 121.5508 51.02 4.04 99 6.90 81 0.34 0.20 0.20 F 222 B
